"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.418883750E-1,9.494755554E-1,-9.088500366E0,5.275030518E0,1.055122219E1
7.519273750E-1,1.865121460E0,-8.418643341E0,5.004992065E0,9.970064159E0
7.619673750E-1,1.999092865E0,-7.977660370E0,3.906426544E0,9.104922054E0
7.720063750E-1,1.795216827E0,-8.366701355E0,3.939208374E0,9.420289679E0
7.820463750E-1,1.252146149E0,-9.530830536E0,4.789140930E0,1.073966813E1
7.920853750E-1,1.187779999E0,-9.602232056E0,4.909640350E0,1.084980415E1
8.021243750E-1,1.128054199E0,-9.561816101E0,4.723128204E0,1.072421435E1
8.121643750E-1,9.410929871E-1,-9.485175476E0,5.452112274E0,1.098088057E1
8.222033750E-1,1.283431091E0,-9.419312439E0,5.974076843E0,1.122765498E1
8.322433750E-1,1.802850952E0,-9.237590332E0,5.068310394E0,1.068976693E1
8.422823750E-1,1.053509216E0,-9.787097626E0,4.847369843E0,1.097242708E1
8.523223750E-1,1.125659180E0,-1.007584717E1,5.720354462E0,1.164097332E1
8.623613750E-1,1.315165100E0,-1.018197647E1,5.782175903E0,1.178286308E1
8.724003750E-1,8.114625549E-1,-1.039722885E1,5.129832458E0,1.162222097E1
8.824403750E-1,-1.223256226E0,-1.120240448E1,4.625980225E0,1.218153993E1
8.924793750E-1,-2.823278961E0,-1.286035675E1,7.621401215E0,1.521333088E1
9.025193750E-1,-3.524570618E0,-1.273461823E1,1.206565933E1,1.789338522E1
9.125583750E-1,-4.142635345E0,-1.114582214E1,1.159967834E1,1.661154167E1
9.225983750E-1,-1.935924225E0,-1.001552261E1,6.418053589E0,1.205196696E1
9.326373750E-1,8.936416626E-2,-8.772208099E0,3.170706482E0,9.328075926E0
9.426763750E-1,2.050436096E0,-7.662116547E0,2.615960083E0,8.351979724E0
9.527163750E-1,4.032464447E0,-6.952442322E0,3.108885040E0,8.617562878E0
9.627553750E-1,1.078162949E1,-5.296885071E0,6.089486847E0,1.346782744E1
9.727953750E-1,1.013512390E1,-4.099524994E0,4.064348145E0,1.166386589E1
9.828343750E-1,3.963907013E0,-8.783135376E0,3.182831268E0,1.014822353E1
9.928743750E-1,2.194286957E0,-1.194501022E1,5.661826172E0,1.339979254E1
1.002913375E0,1.115630035E0,-1.151016449E1,5.991141357E0,1.302391230E1
1.012952375E0,3.087928619E0,-9.203311615E0,5.042863312E0,1.093922841E1
1.022992375E0,4.177363129E0,-7.531887360E0,3.946692810E0,9.473968231E0
1.033031375E0,4.184248810E0,-6.659202118E0,1.215921478E0,7.958101281E0
1.043071375E0,2.780467987E0,-8.358318787E0,1.810036011E0,8.992704016E0
1.053110375E0,9.912387085E-1,-1.038405624E1,2.695145416E0,1.077381024E1
1.063150375E0,1.048270111E0,-1.063777863E1,4.904850311E0,1.176089966E1
1.073189375E0,1.013392639E-1,-9.985435181E0,6.426436157E0,1.187511124E1
1.083229375E0,-2.793191528E0,-1.073283096E1,4.017645264E0,1.179563703E1
1.093268375E0,-2.563419342E0,-1.095466965E1,4.457879791E0,1.210159486E1
1.103307375E0,-2.318528595E0,-9.810748444E0,6.358776855E0,1.191890947E1
1.113347375E0,-1.497036896E0,-9.789193268E0,6.291267242E0,1.173241100E1
1.123386625E0,-2.168989563E-1,-9.517358551E0,6.885681152E0,1.174903247E1
1.133426625E0,-9.764195251E-1,-9.495953064E0,9.706565094E0,1.361410759E1
1.143465625E0,-1.646725616E0,-9.435478821E0,8.648864594E0,1.290514721E1
1.153504625E0,-4.761598206E-1,-9.705517273E0,6.565496979E0,1.172729910E1
1.163544625E0,2.600093079E-1,-9.114097137E0,5.120102692E0,1.045704657E1
1.173583625E0,2.291285248E0,-6.642137604E0,1.576521606E0,7.200930524E0
1.183623625E0,4.379293213E0,-5.256169739E0,-1.499581604E0,7.003875667E0
1.193662625E0,3.204835510E0,-5.686674500E0,-3.221900024E0,7.279414625E0
1.203702625E0,-1.008602600E0,-9.256900177E0,2.030976563E0,9.530600500E0
1.213741625E0,-2.673590240E0,-1.002510269E1,3.641327820E0,1.099591001E1
1.223781625E0,-2.414329376E0,-8.154891815E0,4.068090363E0,9.427651142E0
1.233820625E0,-1.844165039E0,-7.023694153E0,4.123475189E0,8.350824623E0
1.243859625E0,-1.220561829E0,-6.633904724E0,3.124752045E0,7.433877750E0
1.253899625E0,-1.816772003E0,-6.861132202E0,4.673880615E0,8.498291335E0
1.263938625E0,-2.444865875E0,-7.257058868E0,5.864055634E0,9.645176050E0
1.273978625E0,-1.554068298E0,-7.128925323E0,4.241130524E0,8.439424901E0
1.284017625E0,-1.450334015E0,-6.136040039E0,2.142045593E0,6.659040129E0
1.294057625E0,-1.129700775E0,-5.023553467E0,3.261717224E0,6.095171247E0
1.304096625E0,-1.788480835E0,-5.369633789E0,4.297413483E0,7.106292519E0
1.314135625E0,-2.892734528E0,-6.601871338E0,6.740932159E0,9.868778272E0
1.324175625E0,-5.179379425E0,-1.014964371E1,8.739875336E0,1.436059398E1
1.334214625E0,-6.983278198E0,-1.358724518E1,9.598938904E0,1.804214605E1
1.344254625E0,-4.954397278E0,-1.296663574E1,8.967851257E0,1.652579956E1
1.354293625E0,-2.900967407E0,-1.203347626E1,8.671317902E0,1.511330265E1
1.364333625E0,-2.500699768E0,-1.335268295E1,9.722132721E0,1.670531371E1
1.374372625E0,5.671705627E-1,-1.249616409E1,9.273964691E0,1.557184063E1
1.384411625E0,6.569987640E0,-7.221732330E0,7.751181335E0,1.246591222E1
1.394451625E0,8.292006683E0,-4.259242859E0,4.596341858E0,1.039350196E1
1.404490625E0,5.668861542E0,-4.975204010E0,2.442620544E0,7.928117131E0
1.414530625E0,2.462529144E0,-4.804858246E0,3.022814026E0,6.187739263E0
1.424569625E0,-1.305734711E0,-5.537584534E0,4.236789551E0,7.093671215E0
1.434609625E0,-3.720064087E0,-7.050039368E0,4.191882935E0,9.006320805E0
1.444648625E0,-5.577551422E0,-7.982300720E0,5.605992279E0,1.123625178E1
1.454687625E0,-8.605305176E0,-1.027253815E1,7.844886475E0,1.552799282E1
1.464727625E0,-9.285041656E0,-1.144834305E1,7.234156494E0,1.641979224E1
1.474766625E0,-7.558232574E0,-9.304052124E0,7.165748749E0,1.396568010E1
1.484806625E0,-7.638016663E0,-7.802823944E0,7.795938263E0,1.341640837E1
1.494845625E0,-7.437433777E0,-8.202043762E0,7.075037384E0,1.313944813E1
1.504884625E0,-5.523214417E0,-6.872807922E0,5.480403442E0,1.038153207E1
1.514924625E0,-3.364403687E0,-4.266577606E0,6.368506622E0,8.371425998E0
1.524963625E0,-4.275109863E-1,-2.353406067E0,4.457580414E0,5.058785319E0
1.535003625E0,-7.156617737E-1,-2.386187897E0,4.313879242E0,4.981527734E0
1.545042625E0,-1.045575714E0,-3.159779205E0,3.790417786E0,5.044274000E0
1.555082625E0,6.710545349E-1,-4.082610168E0,3.642076263E0,5.512054017E0
1.565121625E0,4.276756439E0,-6.518045654E0,5.367987213E0,9.465244398E0
1.575160625E0,1.130748596E0,-7.774981842E0,4.140988770E0,8.881256838E0
1.585200625E0,-4.166735229E0,-9.411828003E0,2.340233459E0,1.055560901E1
1.595239625E0,-6.462062073E0,-1.100840790E1,2.689307556E0,1.304513955E1
1.605279625E0,-6.572831726E0,-9.875413971E0,4.102369080E0,1.255210540E1
1.615318625E0,-5.722599792E0,-8.332422638E0,4.487368469E0,1.105956108E1
1.625358625E0,-5.664520569E0,-8.364306335E0,5.783074036E0,1.164011852E1
1.635397625E0,-5.636528778E0,-8.752748566E0,7.615713043E0,1.289884294E1
1.645436625E0,-3.843407593E0,-7.705825653E0,7.579338684E0,1.147161304E1
1.655476625E0,-1.768871613E0,-8.454119568E0,6.495292969E0,1.080693644E1
1.665515625E0,-5.295088806E0,-9.052874451E0,6.610403595E0,1.239717456E1
1.675555625E0,-3.340603180E0,-6.100563812E0,3.008294220E0,7.578017059E0
1.685594625E0,1.008003845E0,-2.048789520E0,1.881736908E0,2.958807875E0
1.695634625E0,2.196831665E0,-4.264631653E-1,1.329535217E0,2.602999057E0
1.705673625E0,2.173779602E0,-1.944007416E0,8.231382751E-1,3.030187983E0
1.715712625E0,2.997366943E0,-4.396058350E0,3.701802063E0,6.481734036E0
1.725752625E0,9.722282410E-1,-5.469176788E0,1.220995926E1,1.341418009E1
1.735791625E0,-1.827699280E-1,-9.832602997E0,1.308533890E1,1.636886009E1
1.745831625E0,-3.335064697E-1,-9.755662994E0,1.141601028E1,1.502030219E1
1.755870625E0,1.473236389E0,-7.635621643E0,1.033855087E1,1.293672205E1
1.765910625E0,-2.842588806E0,-9.518855438E0,7.723788300E0,1.258355378E1
1.775949625E0,-7.994126129E0,-1.306004150E1,2.446662140E0,1.550667251E1
1.785988625E0,-7.279811554E0,-1.106513992E1,-1.227447510E-2,1.324511715E1
1.796028625E0,-5.407654724E0,-7.466323700E0,-7.399113464E-1,9.248577621E0
1.806067625E0,-1.369801483E0,-6.069727936E0,-2.374661865E0,6.660103024E0
1.816107625E0,1.904040527E0,-7.154671783E0,-2.233954468E0,7.733385496E0
1.826146625E0,7.692503357E-1,-9.383237457E0,-1.230890350E0,9.494839773E0
1.836185625E0,-1.587448883E0,-9.850715332E0,2.261497192E0,1.023088247E1
1.846225625E0,2.930905151E-1,-1.527214142E1,2.099533997E0,1.541856830E1
1.856264625E0,3.034040680E0,-1.653252045E1,2.743195496E0,1.703099400E1
1.866304625E0,1.752854919E0,-1.302546341E1,1.016655853E1,1.661607986E1
1.876343625E0,-1.865121460E-1,-8.081694031E0,1.060409866E1,1.333399691E1
1.886383625E0,1.534010010E0,-3.391946411E0,7.522906036E0,8.393604851E0
1.896422625E0,1.858535156E0,-1.102906494E0,3.882925415E0,4.443834542E0
1.906462625E0,2.724334717E-1,-3.487148438E0,1.486558685E0,3.800563241E0
1.916501625E0,2.396217041E0,-1.491199036E0,1.904040527E0,3.404541232E0
1.926540625E0,2.552641754E0,-8.158035278E-2,1.913171539E0,3.191059482E0
1.936580625E0,3.749702454E-1,-2.864593048E0,-1.028062134E0,3.066497639E0
1.946619625E0,-1.420695648E0,-5.226531372E0,-2.134261780E0,5.821518672E0
1.956659625E0,-2.274071045E0,-6.447691956E0,-1.726958771E0,7.051703147E0
1.966698625E0,-2.305206299E0,-6.814429321E0,-1.253643036E0,7.302194459E0
1.976737625E0,-2.147883453E0,-7.335944824E0,-6.436614990E-1,7.670970598E0
1.986777625E0,-1.426383820E0,-6.684798889E0,-3.168910217E-1,6.842625732E0
1.996816625E0,-1.190025330E-1,-5.642067261E0,1.100361786E0,5.749598302E0
2.006856625E0,1.103804626E0,-5.677992554E0,4.712500305E0,7.460941175E0
2.016895625E0,1.883233795E0,-4.227957916E0,3.877237244E0,6.037811384E0
2.026935625E0,2.498604126E0,-3.997586975E0,1.998793488E0,5.120439396E0
2.036974625E0,2.533631287E0,-8.685688019E0,2.972518616E0,9.523462121E0
2.047013625E0,5.412145386E0,-1.517903503E1,1.590742035E0,1.619335921E1
2.057053625E0,9.061107330E0,-2.279938843E1,1.440304871E0,2.457621323E1
2.067092625E0,9.207951965E0,-2.953463242E1,7.725434875E-1,3.094636836E1
2.077132625E0,6.514004059E0,-3.158686478E1,7.683522034E-1,3.226069808E1
2.087171625E0,3.630250854E0,-2.556518692E1,2.945424957E0,2.598909448E1
2.097211625E0,8.240364075E-1,-1.435649551E1,5.438490601E0,1.537417248E1
2.107250625E0,-2.160906372E0,-1.024469604E1,4.468358002E0,1.138374001E1
2.117289042E0,-4.454736328E0,-9.623188477E0,1.314566345E0,1.068543480E1
2.127329042E0,-5.612728271E0,-9.164242859E0,3.906875610E-2,1.074651535E1
2.137368042E0,-6.346951447E0,-9.132209473E0,3.573069763E-1,1.112693627E1
2.147408042E0,-7.073839874E0,-9.998757477E0,6.315367126E-1,1.226430594E1
2.157447042E0,-6.842121735E0,-1.100736008E1,1.114731903E0,1.300842930E1
2.167486042E0,-4.665797424E0,-1.191462341E1,1.014590149E0,1.283578240E1
2.177526042E0,-2.506687317E0,-1.142574005E1,1.441801758E0,1.178600057E1
2.187565042E0,-1.274449768E0,-1.125374771E1,1.723964996E0,1.145613875E1
2.197605042E0,-3.790118408E-1,-1.169817352E1,1.359622650E0,1.178301691E1
2.207644042E0,-7.738906860E-2,-1.225950623E1,5.013075256E-1,1.226999557E1
2.217684042E0,-1.145118713E-1,-1.235889954E1,-4.465214539E-1,1.236749336E1
2.227723042E0,2.941383362E-1,-1.201446579E1,-9.927355957E-1,1.205899787E1
2.237762042E0,8.387059021E-1,-1.131556915E1,-6.667135620E-1,1.136617965E1
2.247802042E0,1.324445801E0,-1.078911392E1,-3.026705933E-1,1.087431586E1
2.257841042E0,1.682501221E0,-1.021999741E1,1.754351807E-1,1.035905087E1
2.267881042E0,1.935325470E0,-9.659113770E0,1.030307465E0,9.904821904E0
2.277920042E0,2.419418793E0,-9.353748779E0,1.594933319E0,9.792344756E0
2.287960042E0,3.244203644E0,-9.203610992E0,1.687440948E0,9.903472600E0
2.297999042E0,4.116888885E0,-9.787247314E0,1.594783630E0,1.073696041E1
2.308038042E0,5.104385376E0,-1.048689240E1,2.020198975E0,1.183684359E1
2.318078042E0,5.929170227E0,-1.205682770E1,1.282532959E0,1.349692722E1
2.328117042E0,6.540349274E0,-1.353021378E1,7.143145752E-1,1.504503568E1
2.338157042E0,6.631659393E0,-1.458417206E1,4.498146057E-1,1.602745501E1
2.348196042E0,6.137387238E0,-1.511047760E1,3.555107117E-1,1.631319844E1
2.358236042E0,5.353766785E0,-1.503832764E1,3.367996216E-1,1.596645079E1
2.368275042E0,4.727020111E0,-1.457608887E1,3.692820740E-1,1.532786531E1
2.378314042E0,4.391118622E0,-1.358664642E1,1.387764130E0,1.434589743E1
2.388354042E0,4.088897095E0,-1.215367630E1,2.137704620E0,1.300002723E1
2.398393042E0,4.010609894E0,-1.067744614E1,1.115480347E0,1.146024189E1
2.408433042E0,3.952979736E0,-9.356592865E0,1.076261902E-1,1.015792608E1
2.418472042E0,3.925437012E0,-8.208630066E0,-6.777905273E-1,9.124147264E0
2.428511042E0,3.823199615E0,-7.338639221E0,-1.251697083E0,8.368944169E0
2.438551042E0,3.544778595E0,-6.693780212E0,-1.625918884E0,7.746983996E0
2.448590042E0,3.120411072E0,-6.127507782E0,-1.761237488E0,7.098258544E0
2.458630042E0,2.714754639E0,-5.784421234E0,-2.009571075E0,6.698342905E0
2.468669042E0,2.374961243E0,-5.608237610E0,-2.436632996E0,6.559721819E0
2.478709042E0,2.084714813E0,-5.454058228E0,-2.477348328E0,6.342715644E0
2.488748042E0,1.823807373E0,-5.672603760E0,-2.342628479E0,6.402547535E0
2.498787042E0,1.618284760E0,-6.402635651E0,-2.046693878E0,6.913866116E0
2.508827042E0,1.390009460E0,-7.214696960E0,-1.514700165E0,7.501886104E0
2.518866042E0,1.148561554E0,-7.704478455E0,-9.193881226E-1,7.843688955E0
2.528906042E0,8.482859802E-1,-7.968679047E0,-4.013154602E-1,8.023745319E0
2.538945042E0,5.287005615E-1,-8.261320496E0,-2.574645996E-2,8.278260898E0
2.548984042E0,2.662962341E-1,-8.637338562E0,4.061054993E-1,8.650979875E0
2.559024042E0,8.637039185E-2,-8.853339386E0,8.571176147E-1,8.895151979E0
2.569063042E0,-7.080276489E-2,-8.516988831E0,1.178499298E0,8.598428482E0
2.579103042E0,-2.287243652E-1,-7.771838379E0,1.635199585E0,7.945291958E0
2.589142042E0,-1.737886047E-1,-7.340435486E0,2.437830505E0,7.736615098E0
2.599182042E0,1.781295776E-1,-6.952292633E0,3.182232513E0,7.648052482E0
2.609221042E0,7.170089722E-1,-6.586154022E0,4.381987610E0,7.943131755E0
2.619260042E0,1.499880981E0,-6.851252747E0,5.602699127E0,8.976610979E0
2.629300042E0,2.173031158E0,-7.639663239E0,6.667884064E0,1.037049645E1
2.639339042E0,3.399730225E0,-8.496930542E0,7.770191803E0,1.200549353E1
2.649379042E0,5.062622223E0,-9.354347534E0,8.899593201E0,1.386855150E1
2.659418042E0,6.816375275E0,-1.033600616E1,9.852960663E0,1.582330020E1
2.669458042E0,8.380921783E0,-1.150477570E1,1.043420197E1,1.764857740E1
2.679497042E0,9.637408905E0,-1.255109985E1,1.073821976E1,1.912378418E1
2.689536042E0,1.000414627E1,-1.340208023E1,1.035247192E1,1.966907146E1
2.699576042E0,9.352401581E0,-1.374831024E1,9.127718811E0,1.896836051E1
2.709615042E0,8.343948669E0,-1.311632446E1,7.483687592E0,1.725297153E1
2.719655042E0,7.308701477E0,-1.118369339E1,5.703589325E0,1.452663231E1
2.729694042E0,6.841672668E0,-8.917555847E0,4.137096863E0,1.197693023E1
2.739733042E0,6.682254181E0,-7.609126740E0,2.962190094E0,1.055110899E1
2.749773042E0,5.713768158E0,-6.870113525E0,2.153272247E0,9.191419248E0
2.759812042E0,4.209995270E0,-6.870412903E0,2.145039368E0,8.338334817E0
2.769852042E0,3.722908173E0,-8.070916443E0,2.156116333E0,9.145959498E0
2.779891042E0,4.728516998E0,-9.492809601E0,1.975591736E0,1.078773701E1
2.789931042E0,5.208269348E0,-1.160656403E1,3.136727142E0,1.310257438E1
2.799970042E0,5.401966553E0,-1.362242203E1,4.168681183E0,1.523579756E1
2.810009042E0,4.835245056E0,-1.458282486E1,3.779789886E0,1.582166828E1
2.820049042E0,3.791914673E0,-1.455992249E1,2.576741638E0,1.526465057E1
2.830088042E0,2.928210754E0,-1.407268570E1,1.412462769E0,1.444333591E1
2.840128042E0,2.366129608E0,-1.356134903E1,5.075944519E-1,1.377557291E1
2.850167042E0,1.837279358E0,-1.305375458E1,-2.085163879E-1,1.318406550E1
2.860206042E0,1.282383270E0,-1.264300873E1,-6.599775696E-1,1.272500479E1
2.870246042E0,7.544311523E-1,-1.222268280E1,-1.031205597E0,1.228928502E1
2.880285042E0,3.376977539E-1,-1.161270126E1,-1.115330658E0,1.167102536E1
2.890325042E0,2.511776733E-1,-1.087428680E1,-1.224453735E0,1.094588921E1
2.900364042E0,4.192781067E-1,-1.014200958E1,-1.924996948E0,1.033159067E1
2.910404042E0,5.983058167E-1,-9.593999176E0,-2.883453827E0,1.003579075E1
2.920443042E0,7.813751221E-1,-9.272767181E0,-3.639531555E0,9.992044246E0
2.930482042E0,1.128652954E0,-9.050329742E0,-3.900289307E0,9.919404348E0
2.940522042E0,1.528471527E0,-8.927135925E0,-3.509751434E0,9.713307169E0
2.950561042E0,1.726958771E0,-9.056466980E0,-2.694247284E0,9.605256331E0
2.960601042E0,1.783990173E0,-9.376202087E0,-1.661395111E0,9.687931680E0
2.970640042E0,1.829196167E0,-9.797126770E0,-6.108796692E-1,9.985130221E0
2.980679042E0,1.846560059E0,-1.011970596E1,2.115101624E-1,1.028897319E1
2.990719042E0,1.933229828E0,-1.020428009E1,7.952961731E-1,1.041619920E1
3.000758042E0,2.133213959E0,-1.001522324E1,1.496138763E0,1.034861003E1
3.010798042E0,2.138003998E0,-9.743687897E0,1.849254456E0,1.014545499E1
3.020837042E0,2.271825714E0,-9.526788940E0,2.104174347E0,1.001740731E1
3.030877042E0,2.474055176E0,-9.422605591E0,2.532284088E0,1.006572937E1
3.040916042E0,2.660267944E0,-9.096733246E0,2.998863831E0,9.940863421E0
3.050955042E0,2.704575806E0,-8.685538330E0,3.371588745E0,9.701593531E0
3.060995042E0,2.931653595E0,-8.163723450E0,3.470832367E0,9.342786024E0
3.071034042E0,3.080444183E0,-7.626340942E0,3.571572876E0,8.966958534E0
