"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.493697502E-1,4.172273712E0,-4.288132782E0,4.422253876E0,7.439911292E0
6.593437500E-1,4.352798309E0,-3.452570343E0,7.663763123E0,9.465746684E0
6.693177500E-1,3.404819641E0,-4.725523224E0,6.574927368E0,8.783680119E0
6.792917501E-1,3.155438232E0,-5.308710480E0,6.491251373E0,8.959661924E0
6.892657501E-1,4.428840179E0,-5.194947052E0,7.578889618E0,1.020008177E1
6.992397502E-1,6.832541656E0,-5.459147644E0,8.270900574E0,1.203718052E1
7.092137500E-1,7.983947296E0,-6.349196777E0,7.738158417E0,1.280370297E1
7.191877500E-1,9.282496948E0,-6.572382660E0,7.837551727E0,1.381260947E1
7.291617501E-1,9.834848328E0,-6.529421997E0,8.734336853E0,1.468489814E1
7.391357501E-1,1.161794037E1,-6.573131104E0,8.420439606E0,1.578247110E1
7.491097501E-1,1.301408707E1,-7.127278748E0,8.972192230E0,1.733968852E1
7.590837502E-1,1.359532837E1,-7.459887085E0,9.256750488E0,1.806018545E1
7.690577500E-1,1.501123398E1,-7.186854858E0,8.897946625E0,1.887224106E1
7.790317500E-1,1.694326630E1,-6.597530365E0,8.825347595E0,2.021109695E1
7.890057501E-1,1.724054810E1,-6.348897400E0,8.728948059E0,2.034058827E1
7.989797501E-1,1.692799805E1,-6.414161682E0,9.677076416E0,2.052667523E1
8.089537502E-1,1.661769333E1,-6.013145599E0,9.976453857E0,2.029372522E1
8.189277500E-1,1.542781769E1,-5.843099213E0,8.949738922E0,1.876851603E1
8.289017500E-1,1.448657501E1,-5.851930847E0,7.901468811E0,1.750825975E1
8.388757501E-1,1.463955688E1,-5.361550598E0,7.872878265E0,1.746553929E1
8.488497501E-1,1.569456299E1,-4.609963531E0,8.761879578E0,1.855644376E1
8.588237502E-1,1.672322388E1,-3.904181213E0,8.374784546E0,1.910617345E1
8.687977500E-1,1.573931992E1,-3.945794678E0,8.576115875E0,1.835334440E1
8.787717500E-1,1.621308472E1,-3.431763611E0,8.930728455E0,1.882548879E1
8.887457501E-1,1.710792389E1,-2.801274719E0,8.214916992E0,1.918366652E1
8.987197501E-1,1.769859558E1,-2.312840424E0,8.614585876E0,1.981919792E1
9.086937502E-1,1.819990311E1,-1.984872437E0,9.777517548E0,2.075514493E1
9.186677500E-1,1.833701797E1,-1.657054138E0,8.765023041E0,2.039160821E1
9.286417500E-1,1.788825119E1,-8.872050476E-1,7.437882843E0,1.939326596E1
9.386157501E-1,1.639944717E1,-7.849676514E-1,8.195607147E0,1.835009587E1
9.485897501E-1,1.453582260E1,-8.659492493E-1,8.317004700E0,1.676939397E1
9.585637501E-1,1.379157028E1,-4.526586914E-1,9.079219666E0,1.651800655E1
9.685377502E-1,1.349309097E1,2.151026917E-1,1.035112473E1,1.700751470E1
9.785117500E-1,1.293550049E1,7.255412292E-1,1.123832977E1,1.715090782E1
9.884857500E-1,1.189740921E1,1.132544861E0,1.062969543E1,1.599441868E1
9.984597501E-1,1.061772034E1,1.307381287E0,9.533225555E0,1.432925750E1
1.008433750E0,9.702673187E0,8.000862122E-1,8.055648193E0,1.263627606E1
1.018407750E0,9.207353210E0,-4.357438660E-1,6.183491364E0,1.109958519E1
1.028381750E0,9.362879791E0,-1.465602264E0,4.801864471E0,1.062400162E1
1.038355750E0,9.409432983E0,-2.171683960E0,3.410657501E0,1.024139760E1
1.048329750E0,8.620723114E0,-2.875220947E0,2.168390808E0,9.342680622E0
1.058303750E0,6.991960144E0,-3.838617554E0,1.826202393E0,8.182756660E0
1.068277750E0,5.519472198E0,-4.708907776E0,1.697919159E0,7.451262662E0
1.078251750E0,4.039200439E0,-5.083728333E0,1.500479736E0,6.664148362E0
1.088225750E0,1.935175781E0,-5.746250610E0,1.053658905E0,6.154226066E0
1.098199750E0,-7.809260559E-1,-7.114405518E0,1.375639343E0,7.288140708E0
1.108173750E0,-2.399959259E0,-8.597221985E0,6.114784241E-1,8.946839451E0
1.118147750E0,-1.942959595E-1,-9.117090912E0,-9.086105347E-2,9.119613662E0
1.128121750E0,2.624492340E0,-7.775580597E0,-3.216810608E-1,8.212861399E0
1.138095750E0,4.575385437E0,-6.641838226E0,-4.360432434E-1,8.077023006E0
1.148069750E0,5.866899719E0,-6.269412689E0,1.463955688E-1,8.587635265E0
1.158043750E0,7.626340942E0,-5.087320862E0,-2.299218750E-1,9.170320266E0
1.168017750E0,1.013272888E1,-2.956052856E0,4.526586914E-1,1.056481628E1
1.177991750E0,1.158920013E1,-7.964936829E-1,2.511776733E-1,1.161925351E1
1.187965750E0,1.214948502E1,1.894460449E0,-5.093907166E-1,1.230684547E1
1.197939750E0,1.057311310E1,1.479673004E0,-1.798959045E0,1.082665260E1
1.207913750E0,1.092009155E1,-2.496957550E0,-1.833387451E0,1.135096939E1
1.217887750E0,1.164129181E1,-6.345155182E0,-2.562072144E0,1.350351373E1
1.227861750E0,1.002749771E1,-7.728278961E0,-7.672295380E0,1.480341590E1
1.237836750E0,8.593030701E0,-6.913373566E0,-9.312434692E0,1.443455405E1
1.247810750E0,7.067552948E0,-5.988746338E0,-7.633226624E0,1.200339685E1
1.257784750E0,5.449118500E0,-5.335355072E0,-5.232219543E0,9.248514882E0
1.267758750E0,5.438191223E0,-4.466112671E0,-2.964585114E0,7.636023249E0
1.277732750E0,6.795718231E0,-3.438200226E0,-1.443298645E0,7.751523595E0
1.287706750E0,8.114775238E0,-3.548969879E0,-7.511380005E-1,8.888699155E0
1.297680750E0,8.968300323E0,-4.404291229E0,-7.164102173E-1,1.001705723E1
1.307654750E0,9.696086884E0,-4.397854614E0,-4.999603271E-1,1.065857337E1
1.317628750E0,1.055065979E1,-4.292473755E0,-2.637515259E-1,1.139347699E1
1.327602750E0,1.018287460E1,-4.334985352E0,-3.848497009E-1,1.107389464E1
1.337576750E0,9.301956482E0,-4.577032013E0,-7.964936829E-1,1.039759677E1
1.347550750E0,9.091045074E0,-4.852608948E0,-1.595083008E0,1.042780916E1
1.357524750E0,9.422605591E0,-5.867049408E0,-2.129771118E0,1.130237541E1
1.367498750E0,9.353000336E0,-5.284610596E0,-1.919608154E0,1.091286488E1
1.377472750E0,9.801916809E0,-4.293970642E0,-1.944157104E0,1.087637365E1
1.387446750E0,9.622739410E0,-4.565805359E0,-2.005080414E0,1.083808285E1
1.397420750E0,9.278455353E0,-5.873186646E0,-2.245031433E0,1.120822115E1
1.407394625E0,9.084608459E0,-6.737189941E0,-2.025887146E0,1.149017223E1
1.417368625E0,8.984167328E0,-5.914650421E0,-1.197958832E0,1.082282115E1
1.427342625E0,8.078550568E0,-4.987029419E0,-6.092330933E-2,9.494058845E0
1.437316625E0,7.067253571E0,-5.060376892E0,9.605525208E-1,8.745064235E0
1.447290625E0,6.519841919E0,-5.554948425E0,1.590442657E0,8.711790775E0
1.457264625E0,6.729705505E0,-5.748196564E0,2.020348663E0,9.078133544E0
1.467238625E0,6.823560333E0,-5.626948700E0,1.438957672E0,8.960698995E0
1.477212625E0,5.901627502E0,-5.041067047E0,1.025816803E0,7.829039805E0
1.487186625E0,5.064418488E0,-4.683760071E0,7.840695190E-1,6.942672974E0
1.497160625E0,5.094954987E0,-4.644242249E0,5.520520020E-1,6.916090933E0
1.507134625E0,6.022575989E0,-4.838388519E0,-9.331594849E-1,7.781530160E0
1.517108625E0,7.229516144E0,-5.353467407E0,-3.175646210E0,9.539929025E0
1.527082625E0,7.659871216E0,-5.987548828E0,-3.455863495E0,1.031830221E1
1.537056625E0,8.164322205E0,-6.578370209E0,-2.668949890E0,1.081916841E1
1.547030625E0,8.803792419E0,-6.997049561E0,-2.132615204E0,1.144611336E1
1.557004625E0,9.261241150E0,-7.039261780E0,-1.254241791E0,1.170021011E1
1.566978625E0,8.247249756E0,-7.542964325E0,3.974235535E-1,1.118353186E1
1.576952625E0,7.120243378E0,-7.739655304E0,2.511926422E0,1.081248835E1
1.586926625E0,6.578819275E0,-7.373965759E0,3.979474640E0,1.065328365E1
1.596900625E0,6.371051331E0,-6.366710358E0,3.588637390E0,9.695546099E0
1.606874625E0,6.601571960E0,-5.541177063E0,3.002905426E0,9.127038763E0
1.616848625E0,6.815028076E0,-5.295986938E0,2.553839264E0,9.000787761E0
1.626822625E0,6.061045990E0,-5.247338104E0,2.090253296E0,8.284925740E0
1.636796625E0,4.897964630E0,-5.296136627E0,1.463506622E0,7.360772536E0
1.646770625E0,4.374652863E0,-6.622827759E0,1.207239532E0,8.028503128E0
1.656744625E0,5.011428680E0,-8.895551605E0,1.395248566E0,1.030494902E1
1.666718625E0,6.263425140E0,-1.052162018E1,7.824229431E-1,1.226976656E1
1.676692625E0,7.382797394E0,-9.876611481E0,5.652246094E-1,1.234393092E1
1.686666625E0,7.410789185E0,-7.505392456E0,1.071471863E0,1.060182834E1
1.696640625E0,6.311325531E0,-7.377857666E0,5.370831299E-1,9.723891813E0
1.706614625E0,5.789660339E0,-8.429570618E0,7.961943054E-1,1.025727805E1
1.716587625E0,5.120102692E0,-8.984616394E0,1.494941254E0,1.044861870E1
1.726561625E0,4.572990417E0,-9.021739197E0,1.833836517E0,1.027944434E1
1.736536625E0,4.720733185E0,-8.488547974E0,1.719923401E0,9.864020732E0
1.746509625E0,5.867947540E0,-7.629035339E0,1.383123779E0,9.723580613E0
1.756484625E0,7.665260010E0,-7.126380615E0,-9.270222473E-1,1.050718240E1
1.766458625E0,6.108347626E0,-9.938582611E0,-3.259471893E0,1.211245194E1
1.776431625E0,8.195607147E0,-8.535699921E0,3.182531891E0,1.225376101E1
1.786405625E0,8.616531830E0,-5.116360474E0,2.947969666E0,1.044568286E1
1.796379625E0,6.997498627E0,-5.119204559E0,1.121168518E-1,8.670859965E0
1.806353625E0,5.874683533E0,-5.085674286E0,4.189787292E-1,7.781486537E0
1.816327625E0,5.002597046E0,-3.899091797E0,1.082548828E0,6.434345811E0
1.826301625E0,4.931943970E0,-3.009192352E0,4.929249573E-1,5.798472639E0
1.836275625E0,5.878425751E0,-2.981200562E0,-8.463400269E-1,6.645279342E0
1.846249625E0,6.567293243E0,-3.626508636E0,-1.297801208E0,7.613487598E0
1.856223625E0,7.195087738E0,-4.819228363E0,-1.272054749E0,8.752849414E0
1.866197625E0,8.139773254E0,-5.475164337E0,-1.071172485E0,9.868168201E0
1.876171625E0,8.180937653E0,-6.657854919E0,-1.381177826E0,1.063778291E1
1.886145625E0,7.963439941E0,-8.256530457E0,-1.643133087E0,1.158820768E1
1.896119625E0,8.264014893E0,-9.458830261E0,-1.799557800E0,1.268864927E1
1.906093625E0,9.375453644E0,-1.001941452E1,-1.819466400E0,1.384190219E1
1.916067625E0,1.080423248E1,-9.342821503E0,-1.243464203E0,1.433757150E1
1.926041625E0,1.017314484E1,-9.465266876E0,-3.300636292E-1,1.389939189E1
1.936015625E0,8.886869659E0,-1.058703415E1,-9.107061768E-1,1.385247740E1
1.945989625E0,7.692802734E0,-1.266381546E1,-3.691323853E-1,1.482186542E1
1.955963625E0,6.880292358E0,-1.511646515E1,-6.215075684E-1,1.662023505E1
1.965937625E0,7.405550079E0,-1.621877289E1,-6.683601379E-1,1.784201422E1
1.975911625E0,9.163344727E0,-1.611249390E1,-6.795867920E-2,1.853601803E1
1.985885625E0,1.024724075E1,-1.619781647E1,3.067121887E-1,1.916948809E1
1.995859625E0,1.044408142E1,-1.649479889E1,1.344803467E0,1.956951005E1
2.005833625E0,1.031011002E1,-1.585158646E1,1.869462433E0,1.900173812E1
2.015807625E0,9.594897308E0,-1.364487534E1,1.630858612E0,1.676020218E1
2.025781625E0,9.442214813E0,-1.078147980E1,1.338516541E0,1.439400409E1
2.035755625E0,9.771380310E0,-8.825197906E0,1.118324432E0,1.321418332E1
2.045729625E0,9.504335632E0,-7.784861298E0,-4.195774841E-1,1.229278270E1
2.055703625E0,7.356751556E0,-5.722450104E0,-2.682122498E0,9.698557096E0
2.065677625E0,4.196074219E0,-5.147046661E0,-2.622097321E0,7.139644427E0
2.075651625E0,3.347638550E0,-5.196593628E0,-4.558021545E-1,6.198308221E0
2.085625625E0,3.844455414E0,-5.484295349E0,1.240470428E0,6.811468255E0
2.095599625E0,4.249812469E0,-6.134243774E0,1.007105713E0,7.530213452E0
2.105573625E0,3.342848511E0,-6.720724182E0,-1.245559845E0,7.608823104E0
2.115547625E0,1.653012543E0,-7.020401001E0,-2.474204865E0,7.624970190E0
2.125521625E0,-2.415975952E-1,-7.068002014E0,-2.285297699E0,7.432200713E0
2.135495625E0,-2.711611176E0,-8.284522247E0,-1.461261292E0,8.838632733E0
2.145469625E0,-3.675606537E0,-8.523874512E0,9.071136475E-2,9.283035530E0
2.155443625E0,-3.428769836E0,-7.741152191E0,2.152673492E0,8.735897378E0
2.165417625E0,-2.868035889E0,-6.574328613E0,4.240082703E0,8.332210265E0
