"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.383238751E-1,-1.841770020E0,5.315446472E-1,8.502319336E0,8.715738099E0
6.482978752E-1,-5.342390442E-1,1.379531250E0,9.330996094E0,9.447539676E0
6.582718750E-1,-1.428030396E-1,2.245031433E0,9.672585754E0,9.930733811E0
6.682458750E-1,-3.543132019E-1,1.504072266E0,9.951156464E0,1.007041639E1
6.782198751E-1,-4.596940613E-1,1.348845062E0,1.024768982E1,1.034629635E1
6.881938751E-1,-4.090992737E-1,1.975292358E0,1.080063995E1,1.098740031E1
6.981678752E-1,-4.264631653E-1,2.153122559E0,1.139984390E1,1.160923118E1
7.081418750E-1,-4.873864746E-1,2.452799377E0,1.178110107E1,1.204359219E1
7.181168750E-1,-3.420387268E-1,2.787054291E0,1.231040039E1,1.262658386E1
7.280908751E-1,-1.416055298E-1,3.291954346E0,1.284898041E1,1.326473946E1
7.380648751E-1,-2.242337036E-1,3.927532654E0,1.355670868E1,1.411595352E1
7.480388752E-1,-4.740641785E-1,4.234843597E0,1.461410980E1,1.522270812E1
7.580128750E-1,-6.572831726E-1,4.473746796E0,1.576476700E1,1.640043628E1
7.679868750E-1,-1.459465027E0,4.407135315E0,1.760803391E1,1.820977040E1
7.779608751E-1,-1.913021851E0,4.557123413E0,1.935220688E1,1.997335569E1
7.879348751E-1,-1.540446625E0,5.337001648E0,2.045795746E1,2.119869302E1
7.979098752E-1,-1.897454224E0,4.966971130E0,2.102976837E1,2.169152582E1
8.078838750E-1,-3.025658112E0,3.609294434E0,2.040391983E1,2.094042879E1
8.178578750E-1,-3.727249146E0,2.357297974E0,1.892319901E1,1.943030367E1
8.278318751E-1,-3.903881836E0,1.482517090E0,1.743664032E1,1.792971210E1
8.378058751E-1,-3.476071472E0,1.706900482E0,1.617446503E1,1.663159346E1
8.477798752E-1,-2.438578949E0,3.173700256E0,1.536704407E1,1.587970667E1
8.577538750E-1,-1.994003448E0,3.791465607E0,1.494611938E1,1.554791773E1
8.677278750E-1,-1.925595703E0,2.924767914E0,1.427401703E1,1.469727010E1
8.777028751E-1,-1.835632782E0,2.070344696E0,1.372361160E1,1.399976394E1
8.876768751E-1,-1.555714874E0,1.773661652E0,1.317560120E1,1.338516310E1
8.976508752E-1,-1.876348114E0,1.203048248E0,1.272503815E1,1.291876941E1
9.076248752E-1,-2.336790619E0,6.539900208E-1,1.202958435E1,1.227188628E1
9.175988750E-1,-2.554138641E0,5.325924683E-1,1.107412125E1,1.137732132E1
9.275728751E-1,-2.920876007E0,2.622546387E-1,9.992769928E0,1.041420880E1
9.375468751E-1,-3.199596405E0,4.490661621E-3,8.626111908E0,9.200393686E0
9.475208751E-1,-3.013982391E0,2.034269714E-1,7.093449097E0,7.709895750E0
9.574948752E-1,-2.381547546E0,5.390290833E-1,5.664670258E0,6.168533877E0
9.674698750E-1,-2.126927032E0,5.542973328E-1,4.147874451E0,4.694243985E0
9.774438750E-1,-1.712738342E0,5.490582275E-1,2.564916229E0,3.132687796E0
9.874178751E-1,-1.209484863E0,6.313870239E-1,1.359922028E0,1.926367340E0
9.973918751E-1,-6.370751953E-1,8.219407654E-1,3.977229309E-1,1.113388951E0
1.007365875E0,-1.055305481E-1,9.753717041E-1,-5.992039490E-1,1.149579067E0
1.017339875E0,1.469943237E-1,8.887019348E-1,-1.279988251E0,1.565173595E0
1.027313875E0,3.838018799E-1,8.237370300E-1,-1.555565186E0,1.801563106E0
1.037287875E0,3.387455750E-1,8.126600647E-1,-1.760339355E0,1.968237687E0
1.047261875E0,-1.516346741E-1,6.716532898E-1,-2.013762360E0,2.128226975E0
1.057236875E0,-6.553372192E-1,6.162684631E-1,-2.148033142E0,2.328797988E0
1.067210875E0,-1.069825287E0,6.873706055E-1,-1.861379242E0,2.254270875E0
1.077184875E0,-1.429227905E0,7.478448486E-1,-1.462758179E0,2.177527454E0
1.087158875E0,-1.496587830E0,7.544311523E-1,-1.351539459E0,2.153044450E0
1.097132875E0,-1.398691406E0,6.408174133E-1,-1.109193420E0,1.896653540E0
1.107106875E0,-9.172924805E-1,6.071374512E-1,-6.560856628E-1,1.280816059E0
1.117080875E0,-3.206332397E-1,5.788462830E-1,-1.236428833E-1,6.731688171E-1
1.127054875E0,4.758604431E-1,6.611750793E-1,4.340972900E-1,9.230580177E-1
1.137028875E0,1.075214081E0,6.797364807E-1,1.208886108E0,1.754859717E0
1.147003875E0,1.571132813E0,9.931846619E-1,2.336640930E0,2.985760359E0
1.156977875E0,1.913021851E0,1.728006592E0,3.526965637E0,4.368654940E0
1.166951875E0,1.856738892E0,2.406096497E0,4.374952240E0,5.327005422E0
1.176925875E0,1.258133698E0,2.763553162E0,5.479355621E0,6.264460432E0
1.186899875E0,4.005670166E-1,3.456013184E0,6.328240356E0,7.221572340E0
1.196873875E0,-5.104385376E-2,4.534071350E0,6.854845276E0,8.218838862E0
1.206847875E0,-1.407073975E-1,5.557044067E0,7.513924713E0,9.346635862E0
1.216821875E0,-3.269201660E-1,6.188431091E0,8.192164307E0,1.027205492E1
1.226796875E0,-7.888595581E-1,6.374494171E0,9.175020447E0,1.119988730E1
1.236770875E0,-1.370250549E0,6.574478302E0,1.065993256E1,1.259902828E1
1.246744875E0,-9.177415466E-1,8.002209320E0,1.203033279E1,1.447779371E1
1.256718875E0,1.495390320E-1,1.009949799E1,1.188259003E1,1.559545342E1
1.266692875E0,1.281934204E0,9.724078674E0,1.422581726E1,1.727932111E1
1.276666875E0,1.167572021E0,1.003498215E1,1.563274155E1,1.861307872E1
1.286640875E0,-9.862989807E-1,9.034313049E0,1.673474991E1,1.904319964E1
1.296614875E0,-3.255879364E0,7.608677673E0,1.816008591E1,1.995698992E1
1.306588875E0,-4.496050415E0,7.096891937E0,2.117885834E1,2.278430128E1
1.316562875E0,-4.553830261E0,6.695576477E0,2.376353348E1,2.510525120E1
1.326537875E0,-3.551364899E0,6.680757294E0,2.474594055E1,2.587675181E1
1.336511875E0,-2.366129608E0,6.802603912E0,2.469369919E1,2.572261202E1
1.346485875E0,-1.809586945E0,7.061266022E0,2.363001114E1,2.472879919E1
1.356459875E0,-1.916015625E0,7.401957550E0,2.124307480E1,2.257716365E1
1.366433875E0,-2.236199799E0,7.286547546E0,1.809347443E1,1.963334361E1
1.376407875E0,-2.205962677E0,7.303312683E0,1.488564514E1,1.672683708E1
1.386381875E0,-2.170336761E0,7.387437744E0,1.215262848E1,1.438648592E1
1.396355875E0,-1.967209167E0,7.419171753E0,9.824819183E0,1.246760175E1
1.406329875E0,-1.824705505E0,7.222331085E0,7.791746979E0,1.077974663E1
1.416304875E0,-1.870510254E0,6.658453674E0,5.970184937E0,9.136570589E0
1.426278875E0,-1.893562317E0,5.936804352E0,4.124822388E0,7.472976909E0
1.436252875E0,-2.045496368E0,5.057682495E0,2.647095337E0,6.063936126E0
1.446226875E0,-2.310894470E0,3.893703003E0,2.010020142E0,4.953921406E0
1.456200875E0,-2.441572723E0,2.813848572E0,1.762884064E0,4.121502320E0
1.466174875E0,-2.563718719E0,1.916913757E0,1.886526947E0,3.715668977E0
1.476148875E0,-2.553988953E0,1.279988251E0,2.483635254E0,3.785455530E0
1.486122875E0,-2.267484741E0,9.186396790E-1,3.103496246E0,3.951844489E0
1.496096875E0,-1.958527222E0,7.400610352E-1,3.639681244E0,4.198904473E0
1.506071875E0,-1.693129120E0,7.999365234E-1,3.990701294E0,4.408206152E0
