"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.505009583E-1,4.728816376E0,4.793930969E0,3.542233887E0,7.608606926E0
6.604689583E-1,5.179678802E0,3.066223755E0,3.582051086E0,7.004419362E0
6.704369583E-1,5.865702209E0,1.428629150E0,3.824247437E0,7.146489496E0
6.804049583E-1,5.973627777E0,7.244934082E-2,4.899012451E0,7.725917468E0
6.903729583E-1,5.840554504E0,-6.406677246E-1,6.699468384E0,8.910971253E0
7.003409583E-1,6.176905060E0,-9.759704590E-2,7.407795410E0,9.645678521E0
7.103089583E-1,7.048991547E0,1.772015076E0,5.838458862E0,9.322870864E0
7.202769583E-1,8.790919189E0,3.951632538E0,1.754651184E0,9.796655587E0
7.302449583E-1,9.016649780E0,4.042643280E0,3.440744934E0,1.046334859E1
7.402129583E-1,7.961793365E0,2.619253235E0,5.624703369E0,1.009395508E1
7.501819585E-1,6.561754761E0,2.086660767E-1,4.294270020E0,7.844802233E0
7.601499585E-1,6.417903900E0,-1.484912109E-1,4.611909485E0,7.904508157E0
7.701179585E-1,7.251969452E0,2.279759216E-1,5.551655273E0,9.135858483E0
7.800859585E-1,7.875722351E0,1.541793823E-1,8.252039795E0,1.140819594E1
7.900539585E-1,8.108338623E0,-1.821711731E-1,9.594448242E0,1.256311182E1
8.000219585E-1,8.513695679E0,-3.263214111E-1,9.227112122E0,1.255902456E1
8.099899585E-1,9.078471222E0,-4.331991577E-1,7.507937164E0,1.178878372E1
8.199579585E-1,9.910291443E0,-1.429527283E-1,5.939349060E0,1.155466050E1
8.299259585E-1,1.052865555E1,1.295106812E0,4.931195526E0,1.169814424E1
8.398939585E-1,1.128533203E1,2.747237091E0,4.209546204E0,1.235420212E1
8.498619585E-1,1.135448822E1,3.159180450E0,3.486100616E0,1.229055415E1
8.598299585E-1,1.104313568E1,2.664010162E0,3.841461639E0,1.199185654E1
8.697979585E-1,1.079435303E1,2.243833923E0,4.678221588E0,1.197658571E1
8.797659585E-1,1.023751099E1,2.253563690E0,4.761747894E0,1.151344534E1
8.897339585E-1,1.000160156E1,1.908082123E0,4.526287537E0,1.114271466E1
8.997019585E-1,1.109837082E1,1.041833496E0,4.534670105E0,1.203422141E1
9.096699585E-1,1.272144562E1,8.836125183E-1,4.801116028E0,1.362595556E1
9.196379585E-1,1.386102585E1,1.847607880E0,5.877677307E0,1.516867769E1
9.296059585E-1,1.464434692E1,2.656974792E0,4.681514740E0,1.560233932E1
9.395739585E-1,1.523217453E1,2.817590790E0,5.115462341E0,1.631336611E1
9.495419585E-1,1.501647308E1,2.372266846E0,5.400918732E0,1.613356864E1
9.595109583E-1,1.429497345E1,1.901645508E0,5.058730316E0,1.528244987E1
9.694789583E-1,1.315120193E1,1.908680878E0,3.798201599E0,1.382112551E1
9.794469583E-1,1.222283249E1,1.908980255E0,2.144290924E0,1.255546985E1
9.894149583E-1,1.170026917E1,1.314865723E0,1.516945496E0,1.187123810E1
9.993829583E-1,1.156405243E1,-1.065783691E-1,2.121388550E0,1.175750641E1
1.009350958E0,1.144280457E1,-1.588047638E0,2.667453003E0,1.185643189E1
1.019318958E0,1.087488556E1,-2.354304199E0,2.512225800E0,1.140689102E1
1.029286958E0,1.040965302E1,-2.054627380E0,1.563498688E0,1.072505933E1
1.039254958E0,1.030157776E1,-9.707313538E-1,3.553610229E-1,1.035331373E1
1.049222958E0,1.024334885E1,1.679507446E-1,-3.224295044E-1,1.024979823E1
1.059190958E0,1.020547760E1,1.047671356E0,-6.560856628E-1,1.028006988E1
1.069158958E0,1.046878006E1,1.480870514E0,-8.297245789E-1,1.060550689E1
1.079126958E0,1.095152618E1,1.274749146E0,-7.274871826E-1,1.104944111E1
1.089094958E0,1.123698257E1,6.203100586E-1,-2.944377136E-1,1.125794189E1
1.099062958E0,1.096410004E1,-2.374063110E-1,5.719606018E-1,1.098157504E1
1.109030958E0,1.033016830E1,-1.053958282E0,1.745819550E0,1.052953423E1
1.118998958E0,9.977052612E0,-1.676363983E0,3.013233948E0,1.055610505E1
1.128966958E0,9.805060272E0,-1.904339905E0,4.259093170E0,1.085843414E1
1.138934958E0,9.647737427E0,-1.832788696E0,5.724545746E0,1.136698623E1
1.148902958E0,9.787097626E0,-1.719773712E0,6.326743469E0,1.178017761E1
1.158871958E0,9.990225220E0,-1.620380402E0,5.167554016E0,1.136370745E1
1.168839958E0,9.837542725E0,-1.508113861E0,3.945495300E0,1.070600707E1
1.178807958E0,9.560768280E0,-1.471440125E0,3.082988892E0,1.015274577E1
1.188775958E0,9.316176910E0,-1.423390045E0,2.257006531E0,9.690782730E0
1.198743958E0,9.080716553E0,-1.407972107E0,1.809437256E0,9.365674655E0
1.208711958E0,8.951984253E0,-1.163081360E0,1.685045929E0,9.183145436E0
1.218679958E0,9.222621460E0,-7.017407227E-1,1.946851501E0,9.451953100E0
1.228647958E0,9.611363068E0,-2.100132751E-1,2.603086853E0,9.959842707E0
1.238615958E0,9.971214752E0,2.245330811E-3,3.959416351E0,1.072856498E1
1.248583958E0,1.042462189E1,3.128494263E-1,5.201982422E0,1.165466591E1
1.258551958E0,1.125389740E1,8.831634521E-1,4.672234039E0,1.221719916E1
1.268519958E0,1.134775223E1,4.303550720E-1,4.649631042E0,1.227093130E1
1.278487958E0,1.063777863E1,-9.752220154E-1,5.690566406E0,1.210355064E1
1.288455958E0,9.747729492E0,-2.191293182E0,5.874084778E0,1.158986057E1
1.298423958E0,1.021011795E1,-2.066153412E0,4.141886902E0,1.121029552E1
1.308391958E0,1.091125992E1,-1.191522217E0,2.550995178E0,1.126866871E1
1.318359958E0,1.072504715E1,-5.240602112E-1,2.192341003E0,1.095936287E1
1.328327958E0,1.052581146E1,-1.832189941E-1,2.920576630E0,1.092501918E1
1.338295958E0,1.034139496E1,-5.239105225E-3,3.604354706E0,1.095152272E1
